Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES
5-alpha reductase inhibitors,"VI.a
                
VI - Pulmonary vasculopathies

                    VI.a - Pulmonary embolism - Venous thrombosis/thromboembolism",NOT_FOUND,Pneumotox_only,5-alpha reductase inhibitors,
Abacavir,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.f
                
I - Interstitial/parenchymal lung disease

                    I.f - Acute fibrinous organizing pneumonia (AFOP)                


                  II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  IV.d
                
IV - Airway involvement

                    IV.d - Cough (lone)                


                  X.a
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.a - DRES syndrome - DRESS-like reaction                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  XV.d
                
XV - Pathology

                    XV.d - Path: Acute fibrinous organizing pneumonia (AFOP-pattern) (see also If)",441300,Both,abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
Abatacept,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  X.e
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.e - Autoimmunity-Autoimmune conditions (+ANA, +anti-ds-DNA, +ANCAs, other auto-Abs)",Not Available,Both,abatacept,
Abciximab,"III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  V.n
                
V - Pleural and/or pericardial involvement

                    V.n - Hemopericardium - Bloody pericardial effusion                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)",Not Available,Both,abciximab,
Abemaciclib,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  I.c
                
I - Interstitial/parenchymal lung disease

                    I.c - Eosinophilic pneumonia (pulmonary infiltrates and eosinophilia)                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  XV.a
                
XV - Pathology

                    XV.a - Path: NSIP-cellular pattern (see also Ia, Ib)",46220502,Both,abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
Abiraterone,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  II.d
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.d - Pulmonary edema, cardiogenic                


                  X.r
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.r - Fluid retention                


                  XII.a
                
XII - Cardiovascular involvement / toxicity

                    XII.a - Left or biventricular dysfunction/failure                


                  XII.ai
                
XII - Cardiovascular involvement / toxicity

                    XII.ai - Cardiotoxicity",132971,Both,abiraterone,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O
"Abused drugs/substances (illicit-, street drugs - IV/inhaled)","I.e
                
I - Interstitial/parenchymal lung disease

                    I.e - Acute eosinophilic pneumonia (AEP)                


                  I.j
                
I - Interstitial/parenchymal lung disease

                    I.j - Exogenous lipoid pneumonia (subacute, acute)                


                  I.m
                
I - Interstitial/parenchymal lung disease

                    I.m - ILD with a granulomatous component                


                  I.s
                
I - Interstitial/parenchymal lung disease

                    I.s - A mass or masses                


                  I.t
                
I - Interstitial/parenchymal lung disease

                    I.t - Pneumoconiosis (silicosis, talcosis...)                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  III.a
                
III - Pulmonary/alveolar./airway hemorrhage/bleeding

                    III.a - Alveolar hemorrhage (AH), diffuse AH (DAH)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  IV.g
                
IV - Airway involvement

                    IV.g - Cough syncope                


                  V.f
                
V - Pleural and/or pericardial involvement

                    V.f - Pneumothorax                


                  V.q
                
V - Pleural and/or pericardial involvement

                    V.q - Empyema                


                  V.ab
                
V - Pleural and/or pericardial involvement

                    V.ab - Pneumothorax, bilateral                


                  VI.b
                
VI - Pulmonary vasculopathies

                    VI.b - Pulmonary arterial hypertension                


                  VI.c
                
VI - Pulmonary vasculopathies

                    VI.c - Pulmonary veno-occlusive disease                


                  VI.g
                
VI - Pulmonary vasculopathies

                    VI.g - Foreign body pulmonary vasculopathy (Excipient lung disease)                


                  VI.i
                
VI - Pulmonary vasculopathies

                    VI.i - Acute pulmonary hypertension                


                  VI.j
                
VI - Pulmonary vasculopathies

                    VI.j - Mercury pulmonary embolism                


                  VI.r
                
VI - Pulmonary vasculopathies

                    VI.r - Septic pulmonary embolism                


                  VI.t
                
VI - Pulmonary vasculopathies

                    VI.t - Pulmonary artery aneurysm(s)                


                  VII.h
                
VII - Mediastinal involvement

                    VII.h - Pneumomediastinum                


                  VII.i
                
VII - Mediastinal involvement

                    VII.i - Mediastinitis                


                  VIII.c
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.c - Upper airway obstruction other than angioedema or hematoma                


                  VIII.d
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.d - Thermal (burns, frostbite), chemical or caustic injury on the face, mouth, tongue, pharynx or upper airway                


                  VIII.ai
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.ai - Nasal, palatal and/or pharyngeal pathology                


                  IX.a
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.a - Diaphragm/inspiratory muscle weakness/paralysis (w/wo ARF)                


                  IX.s
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.s - Botulism (foodborne-, wound-)                


                  IX.ah
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.ah - Acute myelopathy (can cause ARF)                


                  X.m
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.m - Vascultis (pulmonary, extrathoracic or systemic)-ANCA status unknown or negative)                


                  X.u
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.u - Multiple organ dysfunction/failure (MODS/MOF)                


                  X.ac
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.ac - Anti-GBM antibody disease (Goodpasture-like or flare of preexisting GS)                


                  X.bb
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.bb - Foreign body (talc, cornstarch) retinopathy                


                  XI.b
                
XI - Miscellaneous

                    XI.b - Chest pain (acute or subacute), lone or prominent                


                  XI.g
                
XI - Miscellaneous

                    XI.g - Aspiration, aspiration pneumonia (w/wo demonstrable pharyngeal dysmotility)                


                  XI.m
                
XI - Miscellaneous

                    XI.m - Pulmonary emphysema - Lung cysts or bullae                


                  XI.r
                
XI - Miscellaneous

                    XI.r - Death following exposure or poisoning                


                  XII.g
                
XII - Cardiovascular involvement / toxicity

                    XII.g - Coronary artery disease (acute) - Myocardial ischemia/infarction                


                  XII.i
                
XII - Cardiovascular involvement / toxicity

                    XII.i - Endocarditis (infective)                


                  XII.v
                
XII - Cardiovascular involvement / toxicity

                    XII.v - Hypertrophic cardiomyopathy                


                  XV.q
                
XV - Pathology

                    XV.q - Path: Foreign body deposits/granulomatous reaction                


                  XV.s
                
XV - Pathology

                    XV.s - Path: Pneumoconiosis (silicosis,  talcosis, talcoma)                


                  XV.v
                
XV - Pathology

                    XV.v - Path: Micronodular organizing pneumonia/BOOP                


                  XV.ag
                
XV - Pathology

                    XV.ag - Path: Foreign body embolism, microangiopathy, vasculopathy                


                  XV.al
                
XV - Pathology

                    XV.al - Path: Pulmonary hypertension incl. angiomatoid vasculopathy                


                  XVI.u
                
XVI - Imaging

                    XVI.u - Imaging: A miliary pattern (diffuse random micronodules)                


                  XVI.v
                
XVI - Imaging

                    XVI.v - Imaging: Centrilobular micronodules (can be diffuse)                


                  XVI.ab
                
XVI - Imaging

                    XVI.ab - Imaging: Cavitating/cavitary lung nodule, mass or nodules (see also Iq, XIs, XIIi, XVIaa and XVIIp)                


                  XVI.ae
                
XVI - Imaging

                    XVI.ae - Imaging: A pattern similar to pneumoconiotic progressive massive fibrosis (PMF)                


                  XVI.af
                
XVI - Imaging

                    XVI.af - Imaging: Lung cysts or bullae (see also XVI ah/bf)                


                  XVI.ai
                
XVI - Imaging

                    XVI.ai - Imaging: A 'tree-in-bud' pattern                


                  XVII.a
                
XVII - Infections & related conditions

                    XVII.a - Respiratory tract infection incl. pneumonia                


                  XVII.b
                
XVII - Infections & related conditions

                    XVII.b - Opportunistic pulmonary/systemic infections                


                  XVII.g
                
XVII - Infections & related conditions

                    XVII.g - Tuberculosis (pulmonary, pulmonary, extrapulmonary or disseminated). Reactivation or de novo                


                  XVII.p
                
XVII - Infections & related conditions

                    XVII.p - Lung abscess/abscesses (see also VIr)                


                  XVII.s
                
XVII - Infections & related conditions

                    XVII.s - Sternoclavicular septic arthritis                


                  XVII.u
                
XVII - Infections & related conditions

                    XVII.u - Epidural abscess                


                  XVII.al
                
XVII - Infections & related conditions

                    XVII.al - Osteomyelitis (notably of thoracic bones)                


                  XVIII.t
                
XVIII - Distinctive patterns - 'Eye-catchers'

                    XVIII.t - Eye catcher: Purpuric/Ecchymotic/Cyanotic lesions of the earlobes and/or nose                


                  XVIII.u
                
XVIII - Distinctive patterns - 'Eye-catchers'

                    XVIII.u - Eye catcher: Talc retinopathy",NOT_FOUND,Pneumotox_only,"abused drugs/substances (illicit-, street drugs - /inhaled)",
Acebrophylline,"VIII.a
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.a - Angioedema (may cause UAO, asphyxia and death)",176595,Pneumotox_only,acebrophylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O
Acebutolol,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  I.d
                
I - Interstitial/parenchymal lung disease

                    I.d - Organizing pneumonia pattern (an area or areas of consolidation on imaging)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  V.a
                
V - Pleural and/or pericardial involvement

                    V.a - Pleural effusion (uni- or bilateral) (can accompany DI-LDs)                


                  V.c
                
V - Pleural and/or pericardial involvement

                    V.c - Pleural thickening - Fibrothorax                


                  V.d
                
V - Pleural and/or pericardial involvement

                    V.d - Pleural/pericardial effusion, ANA positive (DI lupus)                


                  X.y
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.y - Subclinical ANA positivity",1978,Both,acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
Acenocoumarol,"V.e
                
V - Pleural and/or pericardial involvement

                    V.e - Hemothorax - Serosanguineous pleural effusion                


                  VII.g
                
VII - Mediastinal involvement

                    VII.g - Hemomediastinum - Mediastinal hematoma                


                  VIII.b
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.b - Hematoma of/around central airway wall potentially causing UAO",54676537,Pneumotox_only,acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
